transcription factors,cytokines and growth factors,cell differentiation markers,protein kinases,oncogenes,tumor suppresors
AATF,ADA2,ABCB1,AAK1,ABI1,AMER1
ABT1,ADIPOQ,ABCG2,AATK,ABL1,APC
ACVR2A,ADM,ACE,ABL1,ABL2,ASXL1
ADNP,ADM2,ACKR1,ABL2,ACKR3,ATM
ADNP2,AGRP,ADAM10,ACVR1,ACSL3,BLM
ADPGK,AGT,ADAM17,ACVR1B,ACSL6,BMPR1A
AFDN,AIMP1,ADGRE2,ACVR1C,AFDN,BRCA1
AFF1,AMBN,ADGRE5,ACVR2A,AFF1,BRCA2
AFF2,AMELX,ALCAM,ACVR2B,AFF3,BRIP1
AFF3,AMH,ALK,ACVRL1,AFF4,BUB1B
AFF4,ANGPTL5,ANPEP,ADCK1,AKAP9,CBLB
AHR,ANGPTL7,ART1,ADCK2,AKT1,CBLC
AIRE,APLN,ART4,ADCK5,AKT2,CDC73
AKAP17A,AREG,ATP1B3,AKT1,ALK,CDH1
ALX1,ARTN,B3GAT1,AKT2,ARHGAP26,CDKN2A
ALX3,AVP,BCAM,AKT3,ARHGEF12,CDKN2C
ALX4,AZU1,BMPR1A,ALK,ARNT,CHEK2
ALYREF,BDNF,BMPR1B,ALPK1,ASPSCR1,CYLD
ANP32A,BMP1,BSG,ALPK2,ATF1,DDB2
AR,BMP10,BST1,ALPK3,ATIC,DICER1
ARC,BMP15,BST2,AMHR2,BCL10,EP300
ARFGAP2,BMP2,BTLA,ANKK1,BCL11A,ERCC2
ARGFX,BMP3,BTN3A1,ARAF,BCL11B,ERCC3
ARGFXP1,BMP4,C5AR1,ATM,BCL2,ERCC4
ARGFXP2,BMP5,CCR1,ATR,BCL3,ERCC5
ARHGAP35,BMP6,CCR2,AURKA,BCL6,EXT1
ARID1B,BMP7,CCR3,AURKB,BCL7A,EXT2
ARID3A,BMP8A,CCR4,AURKC,BCL9,FANCA
ARID3B,BMP8B,CCR5,AXL,BCR,FANCC
ARID5A,BTC,CCR6,BCKDK,BIRC3,FANCD2
ARID5B,C3,CCR7,BCR,BRAF,FANCE
ARIH2,C5,CCR8,BLK,BRD3,FANCF
ARNT,CALCA,CCR9,BMP2K,BRD4,FANCG
ARNT2,CALCB,CD101,BMPR1A,BTG1,FAS
ARX,CAMP,CD109,BMPR1B,CANT1,FBXW7
ASCL1,CAT,CD14,BMPR2,CARD11,FH
ASCL2,CCK,CD151,BMX,CARS1,GATA3
ASCL3,CCL1,CD160,BRAF,CBFA2T3,HNF1A
ASH1L,CCL11,CD163,BRD2,CBFB,KDM5C
ASH2L,CCL13,CD164,BRD3,CCDC6,KDM6A
ATF1,CCL14,CD177,BRD4,CCNB1IP1,KLF6
ATF2,CCL15,CD180,BRDT,CCND1,MAP2K4
ATF3,CCL16,CD19,BRSK1,CCND2,MEN1
ATF4,CCL17,CD1A,BRSK2,CCND3,MLH1
ATF5,CCL18,CD1B,BTK,CD74,MSH2
ATF6,CCL19,CD1C,BUB1,CD79A,MSH6
ATF6B,CCL2,CD1D,BUB1B,CD79B,MUTYH
ATF7,CCL20,CD1E,CAMK1,CDH11,NBN
ATF7IP,CCL21,CD2,CAMK1D,CDK4,NF1
